,role_or_degree,education_code
778,"bachelor of science and business administration (bsba), computer management",1080
779,"bsba financial management, accounting and finance",2129
780,"bs biochemistry , medicine",1918
781,"secondary , secondary ",3108
782,"bachelor of science (b.s.), applied corporate management",721
784,"bachelor’s degree, packaging engineering",1859
786,"bachelor of science (b.s.), hotel, motel, and restaurant management",763
787,"bachelor of science, management, minor in marketing",1484
789,"bachelor of science (bs), accounting and finance",832
790,"undergraduate, accounting",3187
792,"master of management, business administration and management, general",2811
795,"bachelor's degree, chemical engineering",1612
797,"bachelor of arts, communication",535
798,elementary and secondary education,2431
800,"bachelor’s degree, accounting and finance",1767
801,"bachelor's degree, management",1681
802,"bsc accounting, accounting",2162
803,1980 - 1984,8
805,"bachelor of science - bs, applied corporate management",954
806,neurogastroenterology & motility,3005
807,gastroenterology & hepatology,2487
808,doctor of medicine (m.d.),2392
809,"master of business administration - mba, business administration and financial management,",2782
810,"master of business administration - mba, finance and financial management services",2787
811,"bachelor of business administration -marketing management, accounting and business/management",620
812,"associate's degree, information technology",271
815,"bs psychology major in both clinical and industrial, clinical and industrial",2068
816,"bachelor of arts - ba, behavioral sciences",476
817,"bsa, accounting",2121
818,"bachelor of education - bed major in physical education, physical education teaching and coaching",656
819,"bachelor of business administration (b.b.a.), banking and financial support services",555
820,financial management,2473
821,"diploma, human resource management & development",2379
823,"bachelor of science (b.s.), nursing",791
824,secondary educaton,3120
825,bachelor of science in nutrition and dietetics,1384
826,master of science in clinical nutrition,2846
827,"bachelor of business administration - bba, business administration and management, general",591
829,"short-term exchange scholar, college of economics",3148
830,bachelor of science in community nutrition,1243
831,"bachelor of science in hotel, restaurant, and institutional management",1314
832,bachelor of science in tourism,1400
834,"masters in industrial relations , human resources development",2925
835,"diploma in industrial relations, labor and industrial relations",2359
837,high school/secondary certificate programs,2556
839,"bachelor of science in nursing, registered nursing/registered nurse",1382
840,"post graduate studies, supply chain management",3047
842,"bachelor of arts (b.a.), liberal arts and sciences, general studies and humanities",434
843,"associate of science (a.s.), office administration and management",257
844,"bachelor of science (bs), industrial engineering",881
845,bachelor of science in electronics and communications engineering,1287
846,"master of business administration (m.b.a.), regis program",2764
847,"bachelor's degree, economics major in development economics - magna cum laude",1635
848,"bs management engineering, minor in international business",2038
849,"exchange student, fall semester 2006",2458
850,"bachelor of business administration (bba), business administration and management, general",574
851,"bachelor of arts (b.a.), journalism",432
852,law,2643
853,"business administration and management, general",2196
854,"master of business administration - mba, master in business administration",2794
855,"accountancy, accounting",215
857,master of business administration (mba),2765
858,"a.b. english journalism, cum laude",165
860,ab philosophy and human resources,194
865,"ab, psychology",208
869,spanish language,3157
870,bachelor of science in applied corporate management,1121
872,"master of business administration (mba), mba",2773
875,"bachelor of science in business administration major in marketing management, business/commerce, general",1164
877,"bs mechanical engineering, mechanical engineering",2053
878,"electro-mechanics technology, electromechanical technology/electromechanical engineering technology",2411
879,"vocational, electromechanical technology/electromechanical engineering technology",3203
881,"m.sc., engineering management",2662
882,"master of business administration (m.b.a.), mba",2762
883,"b.sc., chemical engineering",325
884,"bachelor of business administration (bba), marketing/marketing management, general",580
885,"master's degree, entrepreneurship/entrepreneurial studies",2888
886,"european master in management, business administration and management, general",2456
887,programme for executive development,3080
888,leadership for executive development,2648
889,vordiplom wirtschaftswissenschaften ba in economics,3206
892,"management information systems, general",2685
895,bsit,2188
897,1999 - 2003,71
898,"master’s degree, masters in psychology, specializing in industrial psychology",2953
899,"bachelor's degree, ab psychology - bs commerce in applied corporate management",1540
900,"ab psychology - bs commerce in applied corporate management, psychology",200
901,"bachelor of science (b.s.), food technology and processing",761
902,"bachelor of science (bs), management and entrepreneurship",892
903,business,2194
904,"business leadership, business",2204
905,economics,2404
906,"bachelor's degree, industrial economics",1669
909,bachelor of arts (b.a.) integrated marketing communications,410
911,master of technology management,2863
913,"master of science (m.sc.), chemistry",2825
914,"bachelor’s degree, chemistry",1813
915,bs in electrical engineering,2005
917,"bachelor of science (bsc), nursing science",922
918,"bachelor of science in management accounting, management accounting",1358
919,"high school diploma, accounting and business/management",2520
920,"bachelor of arts (b.a.), international studies major in american studies",430
922,"bachelor of science (bs), pharmacy",907
925,"bachelor’s degree, business administration and accountancy",1799
927,"bacheor of science in commerce, business management",1874
928,"bachelor of science (bsc), business administration, management and operations",916
929,"bachelor of commerce - bcom, finance and financial management services",646
930,"development communication, communication and media studies",2339
934,"bachelor of science (bsc), business administration and management, general",915
936,"minor, marketing",2982
937,international exchange program,2612
939,"bachelor of science, accounting and finance",1425
940,"bs biology, microbiology",1920
941,"b.s. agricultural chemistry, b.s. agricultural chemistry",299
943,"master of business administration - mba, marketing",2791
945,"bachelor of science (bsc), marketing",921
946,"bachelor of science in economics, economics",1277
947,"bachelor of science in business administration, human resources management/personnel administration, general",1189
950,"bachelor of science in applied corporate management, business",1123
951,"bachelor, computer science",1732
952,"bachelor’s degree, bachelor of science in nursing",1782
953,"advanced leadership, leadership",240
954,"masters in industrial relations, human resource development",2926
956,b.s. industrial engineering,310
957,"bachelor of science (bs), marketing mangement",899
958,1997 - 2009,67
959,"bachelor of science (bs), business administration, major in financial management",847
960,"bachelor’s degree, bachelor of science degree in commerce, major in business management",1778
963,"bachelor of science (bs), financial management",873
964,"bachelor of science (bs), business administration financial management",843
965,master of business administration (m.b.a.),2750
966,"computer science major in information technology, computer science",2312
967,"bachelor's degree, mechanical engineering",1694
968,"bachelor of science (b.s.), accountancy",717
969,post graduate diploma in research and development management,3039
970,bachelor of science in food technology,1308
971,"bachelor of science (b.s.), manufacturing engineering and management",783
972,"bsie, industrial engineering",2186
973,"bachelor of science - bs, mathematics with specialization in applied statistics",1055
974,2016 - 2016,152
975,"bachelor of science, business economics",1438
976,1981 - 1989,11
982,"senior high school, humanities and social sciences",3140
984,"bachelor's degree, banking",1574
985,"diploma in electrical engineering, power electronics",2353
992,"master of business administration - mba, specialization in supply chain management",2797
993,"bachelor of science in industrial engineering, engineering",1319
994,"bachelor science in commerce, major in computer science, information technology",1517
995,"bachelor's degree, information systems",1672
996,2009 - 2013,128
997,bachelor of science (bs),813
998,"bachelor of science, information management",1467
1000,bachelor of science in information management,1325
1001,"bachelor of arts - ba, communication and media studies",478
1003,"bachelor’s degree, bs in computer science and information technology with specialization in computer networking",1790
1005,"finance & accounting, bsba major in financial management",2470
1008,bachelor of science in business administration major in financial management,1152
1009,"bachelor's degree, accounting and business/management",1544
1010,"bachelor’s degree, science major in biology",1870
1011,"bachelor of science in business administration, business administration, management and operations",1173
