,role_or_degree,education_code
4540,doctor of philosophy (ph.d.),2397
4541,"bachelor of science (b.s.), hospitality administration/management",762
4542,"bachelor of arts - ba, major in consular and diplomatic affairs",493
4543,"bachelor's degree, entrepreneurship/entrepreneurial studies",1649
4544,"bachelor of science, international hospitality management",1472
4546,makeup artistry,2675
4551,"bachelor of science - bs, tourism and travel services management",1072
4554,"bachelor's degree, bs industrial and organizational psychology",1584
4558,"bachelor of science - bs, management engineering ",1046
4559,"master's degree, applied innovation and entrepreneurship",2871
4560,"bachelor of arts, major in consular and diplomatic affairs",542
4561,b.s. computer information science,301
4562,"bachelor, laws",1736
4563,bs hotel and restaurant management,1992
4567,bachelor of science in commerce major in business administration,1228
4568,"ab management economics, management, economics",186
4569,master of business administration (mba) - regis program,2767
4570,bsba - internal auditing,2125
4571,bachelor of science in industrial and organizational psychology,1315
4572,"ab journalism, journalism",185
4573,"senior high school, humanities/humanistic studies",3141
4574,"ab - mgt, human resources",168
4577,"bachelor of arts, broadcast communication",534
4579,"bachelor of arts and science major in masscommunication, mass communication/media studies",507
4580,"bachelor of arts, speech communication",549
4583,"bachelor's degree, hotel, motel, and restaurant management",1657
4585,"bachelor of science (b.s.), management",774
4586,b.s. information technology,314
4587,"post graduate diploma, management",3042
4589,"bachelor's degree, tourism",1722
4596,bs in applied economics and bs in commerce major in management of financial institutions,1996
4600,"bachelor of science in business administration, business management, production management",1174
4604,"b.a. speech communication, speech, communication, english",289
4605,1992 - 2004,39
4606,"bachelor of science (b.s.), economics & public policy",749
4608,"bachelor of science in accounting technology, accounting and finance",1116
4615,"bachelor of science in applied corporate management, corporate management",1124
4616,"high school diploma, accountancy, business and management (abm) strand",2519
4618,"bachelor of science (bs), business/managerial economics",853
4619,"bachelor of business management, business, management, marketing, and related support services",628
4622,prep/kindergarten,3062
4625,grade 3 to grade 6,2494
4626,"bachelor of arts (b.a.), international/global studies",431
4627,"b.s. psychology / magna cum laude, psychology",319
4630,"bachelor's degree, business/commerce, major in management",1609
4632,"bachelor of science - bs, applied mathematics with specialization in mathematical finance",957
4633,aug 2020 - dec 2020,280
4634,"bachelor's degree, office administration major in office management",1703
4635,bachelor of science in office administration,1385
4637,"master's degree, business administration, general management",2876
4640,"bachelor of science business administration - bsba, major in management",1086
4641,associate in computer science,252
4644,1987 - 1999,24
4645,"bachelor of business administration (b.b.a.), accounting and business/management",551
4646,passed cfa level 1 june 2013,3019
4647,bsba financial management (cum laude),2128
4648,"bs, economics",2093
4651,1995 - 2006,53
4652,"bachelor of applied science - basc, psychology",407
4657,b.s. electronics and communication engineering,304
4662,"bachelor of applied science (b.a.sc.), psychology",400
4663,"post graduate, marketing",3048
4667,"bachelor of science - bs, accounting and related services",946
4671,"bachelor's degree, banking and financial support services",1576
4672,"bachelor of science in commerce (bsc), management of financial institutions (mfi)",1226
4674,"bachelor of science, banking and finance",1430
4675,"computer system design and programming, web page, digital/multimedia and information resources design",2320
4676,"professional certificate, data science",3075
4677,"ms, computer science",2993
4680,learning from data,2654
4682,diploma in management accounting,2361
4683,"bachelor of science in psychology, bs psychology",1393
4687,management dev. program,2679
4688,"bachelor of science in business administration (b.s.b.a.), entrepreneurship/entrepreneurial studies",1133
4689,"bachelor of science in management, cum laude",1362
4690,1996 - 2009,63
4692,master of science in management,2853
4695,"bachelor's degree, business administration major in operations and supply chain ",1604
4697,"bachelor of science in commerce, business management ",1235
4698,"bachelor of secondary education, major in english",1505
4699,"master of science (m.s.), industrial and organizational psychology",2822
4701,"master of arts in political science, major in global politics",2741
4702,bachelor of arts in political economy,524
4703,"bachelor of commerce (b.com.), business, management, marketing, and related support services",631
4704,"bachelor of arts, economics",538
4707,"bachelor of business administration (bba),, marketing management",583
4709,"bachelor of science - bs in nursing, registered nursing/registered nurse",941
4710,"master of business administration (m.b.a.), accounting and finance",2753
4713,"bachelor in transportation management, tourism and travel services management",394
4717,"bachelor of business administration - bba, management accounting",609
4720,"bachelor of science - bs, applied economics",955
4721,"bachelor of science - bs, commerce - management of financial institutions",984
4722,master in business administration (with units),2710
4723,"bs commerce major in economics, business/commerce, general",1943
4724,"ms human resources management, human resources management",2990
4727,"bachelor’s degree, marketing management",1849
4729,"bachelor of science, business, management, marketing, and related support services",1442
4730,"diploma in language and literacy education, english language and literature/letters",2360
4732,"bachelor of arts (b.a.), industrial economics",429
4733,"master of science (m.s.), financial engineering",2821
4734,"bs business administration and accountancy, accounting and finance",1925
4735,"bachelor of science in business administration , financial management",1140
4737,"bachelor of science - bs, entepreneurship",1006
4738,"master of business administration (m.b.a.), corporate finance",2757
4739,"bachelor of science (b.s.), business administration major in financial management",727
4740,"bachelor of arts in international studies major in european studies , international/global studies",522
4741,"bachelor in commerce, major in management",379
4742,bs ece,1966
4749,"ab economics, economics",179
4750,"bachelor of science, bachelor of scince in computer science",1429
4751,"bs, physics with computer engineering",2111
4759,"bachelor of arts (ba), communication research",455
4760,ab sociology,204
4761,"bscoe, computer engineering/electronics",2168
4762,"bscoe, computer engineering/electronic",2167
4763,"bs computer engineering, computer engineering",1948
4765,"bachelor in computer data processing management, computer/information technology administration and management",381
4766,bachelor’s degree in mathematics and computer science,1762
4767,management development program,2680
4768,"bsece, electronics & communnication engineering",2180
4769,"msece ( units), electronics & communication",2995
4770,"high school, math &science",2548
4774,"bachelor of science (bsc), computer engineering",919
4777,ux design and research,3193
4778,"bachelor of arts - ba, multimedia arts",497
4781,bachelor of science in business administration major in computer applications ,1150
4782,"bs statistics, mathematics and statistics",2077
4787,"juris doctor degree, law",2635
4789,"bachelor of business administration (b.b.a.), accounting and finance",552
4791,"bs computer science, computer programming/programmer",1957
4792,"bs computer science, computer programming/programmer, general",1958
4793,"bachelor of science, computer science; trainings and seminars",1451
4795,bs electrical engineer,1975
4796,"bachelor of science (bs), industrial design",879
4800,"bs electronics and communications engineering, engineering",1981
4801,secondary education (high school),3112
4811,"bachelor in accountancy, accountancy; business",361
4813,caregiving ncii,2216
4814,"bachelor in advertising and public relations , bachelor in advertising and public relations ",363
4816,"bachelor of science and business administration, marketing",1084
4817,bs psychology ab guidance and counseling,2065
4819,"bachelor of science (bs) electronics and communication engineering, microelectronics",816
4820,1993 - 2004,44
4822,"doctor of law (j.d.), law",2388
4823,ab communication arts & bs marketing management,174
4824,"b.s. tourism, tourism",320
4827,"bachelor's degree, bs management, minor in german studies",1586
4829,"bachelor of arts (b.a.), management economics",436
4832,ab masscommunication,191
4833,"bachelor of arts (b.a.), broadcast journalism",417
4835,"bs in management major in communications technology management, minor in enterprise development, management, marketing, communications, information technology",2013
4836,"international business management, marketing, business management, international studies",2610
4837,1996 - 2007,61
4842,b.s. electronics and communications engineering (bs ece),305
4843,"bachelor of science (bs), statistics",913
4844,"bs electronics engineering, electrical, electronics and communications engineering",1983
4847,bachelor of science in information systems,1329
4848,"bs management, major in communications technology management, communication and media studies",2041
4849,1992 - 2005,40
4853,"bachelor of science in information technology, digital communication and media/multimedia",1341
4854,3d animation,162
4859,"entrepreneurial management, entrepreneurship/entrepreneurial studies",2451
4860,"bachelor of science in psychology, industrial and organizational psychology",1396
4861,certificate in advanced talent strategy,2230
4862,"master's degree in business administration, business administration and management, general",2868
4874,"bs electronics and communications engineering, communications engineering",1980
4878,pre-school and grade school,3060
4879,"bachelor of science (bs), electrical and electronics engineering",865
4882,"bachelor's degree, ab management economics, minor in finance",1538
4883,"bs, management engineering",2106
4884,1984 - 1991,15
4885,"bachelor of science - bs, entrepreneurship",1008
4886,"diploma in professional event management, meeting and event planning",2364
4888,"bachelor’s degree, marketing",1848
4889,"highschool diploma, high school/secondary diplomas and certificates",2561
4891,ccna/ccnax bootcamp,2218
4892,computer and hardware servicing ncii,2296
4895,"bachelor of computer science, computer science, information technology, data science",653
4896,senior high school diploma,3131
4898,primary school diploma,3072
4900,2013,140
4901,business/managerial economics,2209
4902,"bachelor of engineering (beng), electrical and electronics engineering",674
4908,"bachelor’s degree, communication arts",1816
4909,"bs accountancy, cum laude, accounting",1906
4912,"accounting management, accounting",225
4913,"bachelor of science in accounting management, accounting and business/management",1113
4916,"bachelor of science (bs), information systems",884
4917,master of asean studies,2747
4919,"bachelor of arts major in communication, communication and media studies",528
4924,1996 - 2001,59
4929,"information technology, system, networking, and lan/wan management/manager",2600
4931,2011 - 2016,134
4932,1993 - 2001,42
4934,"bachelor of science - bs, development communication",994
4935,"bachelor's degree, journalism",1676
4938,"bachelor of science (bs), hotel and restaurant management",876
4939,"engineering, electronics and communications engineering",2445
4940,"secondary school, high school/secondary diplomas and certificates",3123
4941,"postgraduate certificate, full-stack web development",3052
4943,"bachelor of science (b.s.), communications technology management",740
4945,master in innovation & business,2722
4947,"bachelor of science in business administration - major in computer application, computer/information technology administration and management",1145
4948,"bachelor’s degree, bachelor in office administration major in corporate transcription",1775
4949,"bachelors of science in electronics engineering, electronics and communication engineering",1748
4950,"bachelor's degree, business administration major in marketing management",1603
4951,"bachelor of science - bs, major in computer science",1040
4955,"bachelor of science (b.s.), banking and finance",723
4958,electronics,2412
4959,"master of science - ms, information technology",2838
4961,"ab communication arts, communication",175
4962,"bachelor of arts, management economics",543
4963,"highschool, high school/secondary diplomas and certificates",2565
4964,"bachelor's degree, electronics communications engineering",1643
4970,electronics and communications engineering,2415
4971,"bachelor of science (b.s.), electronics and communication engineer (ece)",754
4972,"bs ece, engineering",1971
4975,"bachelor of science - bs, computer and information sciences, general",986
4977,bachelor of science (accountancy),714
4979,"bachelor of science, kinesiology",1473
4982,"bachelor of science, management information systems, general",1482
4985,"bachelor of science in business administration , entreprenerial technology",1139
4991,"bachelor’s degree, business management",1811
4994,"bachelor of scence in business administration, business administration and management, general",712
4996,"bachelor's degree, marketing and communication",1690
4997,2006 - 2017,115
5000,"bachelor of electronic and communication engineering, electrical, electronics and communications engineering",658
5001,"bs psychology, industrial psychology",2072
5004,"bachelor of science (bs) electronics and communications engineering, electronics and communications",817
5011,"bba major in marketing, marketing",1881
5016,1995 - 2008,55
5017,bachelor of science in electrical engineering,1279
5019,"bachelor of science (bs), legal management",888
5020,"bachelor of applied science - basc, information technology",406
5021,"bachelor’s degree, bachelor of electronics and communication engineer",1777
5022,"master’s degree, master in engineering science",2951
5023,"bachelors, integrated marketing communications ",1759
5026,bs statistics,2076
5030,1980 - 1992,10
5032,"bachelor of engineering (beng), electronics and communications engineering",676
5033,"bachelor science business adminstration, mark",1515
5034,secondary eduaction,3110
5037,1999 - 2005,73
5040,"bachelor of science in commerce, marketing management",1241
5041,"master of business administration (m.b.a.), mba program major in information technology",2763
5046,2007 - 2007,117
5048,bs hrim,1993
5050,nestle brand management development program,3003
5051,integrated marketing communications,2604
5055,"bachelor's degree, bachelor of science in commerce major in management accounting",1563
5056,electronics engineering technology,2421
5057,"bachelor of science in civil engineering, major in structural engineering",1224
5058,"bachelor of science (bs), management major in communications technology management",895
5060,"bachelor of business administration (b.b.a.), banking and finance",554
5062,"bachelor of science - computer science, computer science",1074
5063,"masters of business administration, financial management ",2933
5064,"bachelor’s degree, bachelor of science in accountancy",1779
5065,"bachelor’s degree, business administration major in computer applications",1802
5068,master in applied business analytics,2706
5069,"certified usability analyst, ux foundations, ucd, ui design, user testing",2269
5070,"human computer interaction, interaction design",2575
5071,"bachelor of fine arts, advertising arts",690
5076,bsee,2184
5078,"bachelor’s degree, media, communication arts",1853
5080,"master's degree, business, management, marketing, and related support services",2879
5081,bachelor of business administration (bba),569
5082,"bachelor's degree, statistics",1720
5089,ab mass communications,190
5091,"b.s. electronics and communications engineering , electrical, electronics and communications engineering",306
5092,"master's degree, communication",2881
5094,bs development communication,1964
5099,1987 - 1991,22
5102,"college, bachelor of mass communication major in advertising & pr, cum laude & departmental awardee",2284
5106,"bachelor of science (b.s.), office management and supervision",792
5108,"bachelor of science in information technology, information technology project management",1346
5109,"bachelor of technology major in information technology, information technology",1512
5111,"certificate, user experience design",2257
5112,"diploma course, web design and development",2344
5113,"diploma course, print media",2343
5114,"bachelor of arts (ba), masscommunication",466
5115,"bachelor of science in commerce, business systems and technology management",1236
5119,b.s. information management,312
5120,masters of science in management engineering,2935
5122,"primary/secondary level, elementary/high school",3074
5124,"bs, electrical, electronics and communications engineering",2095
5125,"bachelor of science in electronics and communication engineering, telecommunications engineering",1285
5127,"bachelor of arts (b.a.), business administration",419
5128,"bachelor of science - bs, business management ",975
5133,"masters in, business administration - top executive program",2930
5134,"bachelor of science in, computer science (best thesis, programmer of the year, academic achiever)",1407
5135,"bachelor of science in business administration, major in marketing",1200
5136,1988 - 1992,26
5137,"bachelor’s degree, management accounting",1845
5144,"bachelor of science (b.s.), information technology major in systems software engineering",772
5147,management development program (mdp),2681
5151,2002 - 2007,94
5152,1993 - 1997,41
5153,business administration,2195
5154,entreprenuerial finance,2452
5157,"bachelor of science, civil engineering",1444
5159,"bachelor of business administration (bba), business administration, management and operations",575
5161,bs hrm,1994
5162,"bachelor of arts (ba), broadcast communication",451
5168,"bscs-st, computer science",2175
5170,"bachelor of science in business administration, marketing and advertising management",1205
5171,short course in interior design,3146
5176,"master's degree, information technology",2893
5177,"bachelor of commerce - bcom, marketing/marketing management, general",648
5178,"bs electronics engineering, electronics and communication",1984
5180,"bachelor’s degree, electronics and communications engineering | ece",1824
5182,"m.a., organizational psychology",2659
5183,"b.s., psychology",323
5184,"post graduate diploma, computer science",3040
5186,"electronics and communication engineer, electrical, electronics and communications engineering",2413
5188,masters in business administration - 28.5 units completed,2917
5192,"master’s degree, marketing communications",2950
5193,bachelor of arts in international studies major in american studies,521
5196,bachelor of financial management,687
5199,"bachelor of science (bs), business administration major in computer applications",844
5201,bachelor of science in information and communications technology,1324
5207,"bachelor’s degree, management, minor in project management",1846
5208,"bs management, minor in project management, bs biology",2043
5209,"master of marketing, marketing/marketing management, general",2814
5213,electrical engineering,2406
5214,1976 - 1987,6
5216,"bachelor of applied arts major in visual design , major in visual design ",396
5217,"bachelor of applied arts, major in visual design",397
5224,"bs in electronics and communications engineering, electronics and communications",2008
5225,"ab mass communication, mass communication/media studies",189
5226,2000 - 2010,84
5227,"bachelor of science in business administration, retail management",1213
5229,"open digital architecture fundamentals, computer/information technology administration and management",3017
5230,"boot camp training, organization change management (ocm)",1891
5231,"master's degree (earned units), technology management",2866
5232,"certification, project management professional",2262
5233,"bachelor of arts, communication arts (major in speech communication)",536
5240,"bsba, computer applications",2146
5241,"management development program, post graduate",2682
5243,rbs operations & maintenance,3092
5244,nss operations & maintenance,3012
5246,"bs industrial engineering, supply chain management, operations research, ergonomics, statistics, business process improvement",2020
5248,"bachelor of science major in information technology, information technology",1416
5249,"bachelor of science - bs, electronics and communications",1001
5250,mba (candidate),2960
5251,ms in statistics (candidate),2991
5252,"bs in statistics, economics",2015
5255,"bachelor of science in accountancy (lpu - cavite), accounting",1099
5257,"bachelor of arts (b.a.), broadcast communication",416
5260,"bachelor of science in information system, web development",1328
5262,negotiation and influence,3002
5263,"bachelor's degree, business administration and general management",1596
5264,jun 2008 - mar 2012,2627
5265,jun 2000 - mar 2008,2625
5269,"college graduate, mass communication bachelor in journalism",2283
5272,bsece,2177
5277,"bachelor of arts in communication, media production, advertising",513
5280,"ab, management economics",207
5281,"master of science - ms, management engineering",2840
5282,bs information systems,2024
5283,"college graduate, bs in commerce major in marketing management",2282
5286,"masters in engineering, telecommunications engineering",2924
5288,"bachelors, ece",1755
5289,"bachelor of science, mathematics, major in actuarial science",1489
5290,"bs math, actuarial science",2047
5291,"secondary, math and science class",3127
5292,"bachelor of science (b.s.), information systems",769
5294,"bs, accountancy",2082
5295,"bs, accoutancy",2083
5301,"bachelor of science (bs), physics and computer engineering",909
5304,"bachelor of arts major in communication, mass communication/media studies",529
5306,"bs computer science and information technology, major in systems software engineering",1953
5307,"bachelor of information technology major in it, information technology",693
5310,"mangement information systems, business administration and management, general",2690
5311,"major in advertising and public relations, business administration/management",2672
5312,"ba social sciences, area studies",345
5315,"bachelor of science - bs, behavioral science",962
5318,"marketing diploma program, marketing communications and brand management",2695
5323,"computer engineering, information technology",2304
5326,"bsba, major in marketing management ",2153
5328,"bachelor of science (bs), electronics engineering",869
5329,"bachelor of science in computer science, major in computer engineering",1267
5332,1994 - 1997,45
5338,"bachelor of arts - ba, organizational communication",498
5339,2001 - 2014,91
5342,"high school, n/a",2549
5343,"elementary, n/a",2437
5345,"bachelor of science, electronics & communications engineering",1457
5347,"bs electronics & communications engineering, electronics and communications engineering",1977
5348,"electrical technology, industrial electricity",2408
5349,"bachelor's degree, management engineering, minor in financial management",1684
5353,"bachelor of science (b.s.), business, management, marketing, and related support services",735
5355,"certificate in software developemtn, java core fundamentals and desgin: java se, ee, ms sql, html & javascript",2240
5356,"technical course, 3d arts",3167
5357,"technical course, basic nihongo class",3168
5358,"bachelorâs degree, computer software engineering",1760
5360,"valedictorian, n/a",3195
5364,elementary level,2435
5365,"master of laws (llm), cross border business and finance law in asia",2810
5366,"certificate course, enterprise risk management",2224
5368,"bachelor of science (b.s.), tourism management",806
5369,"methodology of teaching, secondary education and teaching",2976
5370,"bachelor of science (b.s.), electronic and communications engineering, ece",753
5371,"bsba major in economics with specialization track on business analytics, economics",2135
5372,"bachelor of business administration (bba), building and property management",573
5373,"bsece, electronics & communications engineering",2179
5374,master of arts in mathematics,2739
5375,certificate of teaching,2244
5376,bs mathematics major in computer science,2049
5384,"electronics engineering, student",2426
5386,"bs ece, electronics and communications engineering",1969
5387,"degree: bachelor of science, electronics and communications engineering",2334
5388,"bsc, marketing",2166
5390,"b.s. physics with computer applications, computer science and applied physics",318
5392,"master of engineering - meng, specialized in structural engineering",2805
5394,certificate in business analytics,2233
5395,bs information and communications technology,2023
5396,"master's degree, luxury fashion brand management",2895
5397,"bachelor's degree, fashion design",1650
5398,"bachelor of science, management information systems (mis)",1481
5399,"bachelor of science in business administration, human resources management development",1188
5400,"interaction design, ma, interaction design",2605
5401,"ab, interdisciplinary studies",206
5404,"bachelor of science (bs), management of information systems",897
5406,"associate of science - as, computer science",258
5408,"electrical, electronic and communications engineering technology/technician",2409
5409,"bs computer science, bachelor of science major in computer science",1955
5419,"electronics engineer , electrical, electronics and communications engineering",2419
5424,"bachelor in banking and finance, finance, general",373
5426,"advance diploma in computer studies: multimedia and the internet, computer science",232
5427,"diploma in computer studies: multimedia and the internet, computer science",2352
5429,"bachelor in science, physics with computer applications",392
5430,"bachelor's degree, bs management major in communications technology management, minor in korean studies",1585
5431,"new media, school of social sciences (semester 1, ay 2013-2014)",3006
5434,"associate degree, computer system design and programming",251
5440,"bachelor of science - bs, bs computer engineering",964
5441,"bachelor, business administration major in marketing",1731
5443,"high school, visual arts",2554
5444,"bachelor of engineering (beng), civil engineering",673
5446,"bachelor's degree, banking, corporate, finance, and securities law",1577
5447,"b.s. industrial psychology, industrial psychology",311
5450,1995 - 2007,54
5451,"bs applied mathematics major in information technology, applied mathematics",1915
5453,"b.s. electronics and communications engineering, telecommunications engineering",307
5454,"business/commerce, general",2207
5455,"electronics and communications engineering, computer systems networking and telecommunications",2416
5457,"bachelor of science in computer engineering, engineering",1250
5461,"bachelor's degree, bachelor of arts in communication arts and bachelor of science in marketing management",1559
5464,"bachelor of engineering (b.e.), electrical engineering technologies/technicians",665
5465,"bachelor of engineering (b.e.), electrical and electronics engineering",663
5466,"bachelor of business administration - bsba, business administration and management, general",615
5467,"bachelor’s degree, bs management minor in international business",1792
5469,"bachelor of science (bs), industrial eng",880
5472,"bachelor of business administration (bba), bachelor of science in business administration",572
5476,"bachelor’s degree, bachelor of science in information technology",1781
5477,"ab-communication arts, communication and media studies",210
5480,"bachelor’s degree, major in accountancy",1842
5482,"ab management economics, minor in financial management",187
5485,"certification in japanese lifestyle, language and business skills, technology specialization in network peripherals r&d",2258
5487,"associate of arts (aa), political science and government",256
5488,"bachelor of applied science (basc), electrical, electronics and communications engineering",401
5492,"post baccalaureate diploma information technology, computer/information technology administration and management",3034
5493,"banking and finance, financial derivatives",1879
5494,"master of business administration - mba, energy, environment, and natural resources law",2786
5495,"bachelor of arts, human resources development",539
5500,"bachelor of science in electronics engineering, electronics, communications",1298
5501,micromputer hardware fundamentals and servicing,2979
5503,"bachelor's degree, political science and government",1711
5504,"basic korean language class, korean language and literature",1880
5505,korean language and literature,2642
5508,certification in professional education,2259
5513,intermediate level,2606
5514,master of public administration - mpa,2817
5521,"bachelor of science in electrical engineering, electrical engineering",1281
5522,general engineering,2488
5524,"ccna : routing and switching, computer systems networking and telecommunications",2217
5526,"technical drafting ncii, architectural drafting and architectural cad/cadd",3169
5529,bachelor of science - information technology,1075
5532,bachelor’s degree,1761
5535,"ma, sociology",2671
5536,"ab & bs, psychology and marketing",167
5538,"masters in business adminstration, business administration and management, general",2921
5541,"bachelor of science in commputer science, computer science",1242
5543,blockchain strategy program,1890
5544,emerging leadership of innovation across sectors,2440
5545,advance executive program,235
5546,advance finance for senior managers,236
5547,internet of things: business implications and opportunities,2616
5551,"graduate certificate, marketing and value management",2503
5552,"bachelor of science - bs, management in communications technology",1047
5553,"masteral, master of arts in communication management",2913
5554,"undergraduate course, bachelor of mass communication",3186
5559,"bachelor of art and sciences major in english language, english/language arts teacher education",408
5561,bs computer scienace,1950
5563,"bachelor of science, major in business management",1474
5568,1979 - 1991,7
5569,"bachelor of arts (b.a.), behavioral sciences",415
5570,primary and secondary,3067
5572,management economics,2683
5575,"bachelor of arts (ba), mass communication",464
5580,"bachelor of science (b.s.), statistics",803
5581,"bachelor of engineering (be), electrical and electronics engineering",671
5586,"bachelor of science in tourism, bs tourism",1406
5587,"bachelor of science (b.s.), hotel, restaurant, and institution management",764
5589,ab psychology- bs business management,203
5593,"bachelor of science (bs), public health",911
5594,senior,3128
5595,junior,2630
5596,sophomore,3156
5597,freshman,2480
5598,2nd grade to 6th grade,156
5599,1st grade,78
5601,computer and information sciences and support services,2297
5604,"masters, industrial and organizational psychology",2938
5605,"ab psychology, english language and literature/letters",201
5610,"bs industrial engineeering, statistics, system analysis, ergonomics, operations research,",2016
5614,"bachelor of science (bs) in nursing, registered nursing/registered nurse",824
5616,"ab computer science/secretarial ( major in software development), computer and information sciences and support services",177
5617,"bachelor's degree of information technology, information technology",1535
5621,"bs development communication, major in educational communication",1965
5624,"bachelor of science in business management - entrepreneurship, business, management, marketing, and related support services",1217
5625,masters in technology management,2929
5628,"b.s in electronics engineering, electrical and electronics engineering",295
5629,"bachelor of science, real estate management",1495
5636,2007 - 2008,118
5640,"mindanao state university - iligan, management information systems",2980
5646,"ab mgt, human resource management",192
5647,"ab hum, major in humanities minor in communication arts",181
5655,"bs information systems, information technology",2025
5658,master of information technology,2808
5661,"certificate course, information technology penetration testing",2225
5662,"certificate course, lean six sigma yellow belt",2227
5663,"certificate course, information technology security analytics and governance",2226
5665,"b.s computer science, conp",294
5666,"computer system design and programming, information technology",2319
5668,master of information systems,2807
5670,"engineer's degree, electrical, electronics and communications engineering",2442
5674,"master's degree, applied mathematics",2872
5675,"bachelor of science - bs, engineering/industrial management",1005
5682,"bachelor of technical teacher education, food service, waiter/waitress, and dining room management/manager",1509
5683,"bachelor of arts - ba, english/language arts teacher education",485
5684,web development,3208
5685,bsba in accounting,2132
5686,"advance diploma in telecommunication network engineer, computer systems networking and telecommunications",234
5687,"diploma of computer systems in engineering, electrical, electronic and communications engineering technology/technician",2371
5688,"bachelor of science is electronics and communication engineer, electronics engineering",1410
5690,certificate iv in leadership (ministry),2243
5694,"masters, technology management",2941
5696,"master of information technology, information technology",2809
5700,"b.s, information technology specializing in database management system",296
5702,"b.s. mathematics, computer science",315
5703,"bachelor of technology (b.tech.), computer technology/computer systems technology",1510
5707,"bachelors, bs mechanical engineering",1751
5708,"hp-stanford certificate program for innovation and entrepreneurship, business, management, marketing, and related support services",2572
5709,master of business administration (m.b.a.) - regis program,2751
5711,1988 - 1991,25
5714,"high school degree, engineering",2516
5721,"bsba,management information system, management information systems, general",2155
5723,"computer technology, computer/information technology administration and management",2325
5737,"bs, civil engineering",2089
5738,"high school, year",2555
5742,"accelerated management program, business",213
5745,"bs electronics and communications engineering, semiconductor and telecommunications",1982
5746,"bachelor of science in information technology, hardware and software",1342
5749,1986 - 1998,21
5750,"bachelor of science in commerce major in computer applications and information science, computer applications and information science",1230
5751,"bachelor of science (bs), entrepreneurship/entrepreneurial studies",870
5754,undergraduate - bs-ece,3185
5757,"certificate of technology, food service, waiter/waitress, and dining room management/manager",2245
5758,"gradcert, business (international business)",2493
5759,"bachelor, computing (e-business)",1734
5760,"bachelor of arts, public administration",548
5769,"bachelor of arts (ba), sociology",471
5773,"bachelor’s degree, ece",1819
5778,"bachelor of science - bs, architecture",959
5781,"bs - hotel, restaurant and institution management, culinary arts",1898
5783,"bachelor of business administration - bba, computer applications",595
5784,"bachelor of science in computer engineering, it/computer/engineering",1251
5786,"manager development program, philippines adaptative leadership",2688
5789,"master's degree, data science",2885
5790,"coursera - applied data science with python, data science",2328
5794,"master of science - ms (currently enrolled), environmental science",2832
5795,"user experience professional certification , user experience design",3192
5801,"bs, chemical engineering",2088
5804,"bs, electronics & communications engineering",2096
5806,"master's degree, electronics engineering",2886
5807,"bs in electronics engineering, electrical, electronics and communications engineering",2009
5810,"computer engineering technology, information & communication technology engineering",2302
5811,"bachelor of science (b.sc.), aerospace, aeronautical and astronautical/space engineering",808
5813,"graduate of computer engineering technology, information technology",2508
5821,"diploman in industrial relations, school of labour and industrial relations",2385
5825,"asia pacific executive mba, business administration and management, general",248
5826,"bachelor of science - bs, cellular biology",977
5828,"bachelor of science in information technology, computer software engineering",1338
5829,"computer science, computer science",2313
5831,"bachelor in secondary education major in computer education, secondary education and teaching",393
5835,"bachelor of arts, advertising and communication arts",532
5836,"deutsche sprachzertifikate für die stufen a1 bis b2, foreign languages and literatures, general",2338
5840,oct 2013 - 2018,3016
5841,embedded systems,2438
5843,aviation,282
5844,"master of science in business analytics, data science",2845
5850,"master of management, operations management",2813
5855,"master's degree (21 units), clinical psychology",2865
5856,"bachelor of science - bs, clinical psychology",983
5857,global management program,2491
5869,"associate's degree, computer engineering technology/technician",263
5871,bs food technology,1990
5873,small business administration/management,3152
5878,master of statistics,2862
5896,"bachelor of science, tourism management",1498
5900,"high school diploma, science and technology",2530
5903,"bachelor of engineering (b.eng.), electrical engineering",668
5909,ranger,3091
5910,graduate school (masters),2509
5912,"bachelor’s degree, b.s. electronics and communication engineering",1771
5913,"bachelor’s degree, b.s. electronics technology",1772
5914,2001 - 2006,87
5918,"bachelor of science in engineering, major in electronics and communication engineering",1303
5920,"bachelor's degree , information technology",1523
5923,"information communication technology, information technology",2591
5927,"b.s., computer science",322
5931,"bachelor of science in business administration, human resouces development management",1181
5934,"vocational diploma / short course certificate in computer technology , computer technology/computer systems technology",3201
5935,secondary education field of study regular/general high school/secondary diploma program,3114
5939,"bachelor's, computer science",1726
5940,"bachelor of science, major in tourism",1477
5942,"bachelor of arts in english, english language and literature/letters",518
5949,"post-baccalaureate certification, applications development",3049
5951,"high school diploma, specialization in electronics",2536
5955,bachelor of science (bs) in computer engineering,820
5956,"bachelor of arts (b.a.), european languages major in spanish",426
5959,computer and information systems security/information assurance,2298
5962,bachelor of science in mathematics,1368
5963,"bachelor of science - mathematics, mathematics",1076
5966,"bachelor of arts - ba, digital communication and media/multimedia",482
5968,"bachelor of arts - ba, linguistics",491
5969,"information technology, computer programming, specific applications",2597
5971,"bachelor’s degree, bs computer science major in instructional systems technology",1789
5975,"b.s. computer studies, software technology",303
5977,"bachelor of science in information technology, database administration",1340
5978,"bachelor of science in computer science major in computer systems engineering (bscs-cse), computer science",1256
5981,"computer studies, information technology",2317
5984,hp-stanford innovation and entrepreneurship program,2573
5985,"bachelor’s degree, bs business economics",1787
5986,"bachelor of science in computer science, computer science research",1263
