,Unnamed: 0,Job Title,role_code,Category,Industry,Average/Salary Per Year
5378,8418,specialist - contracting and procurement data,10567,,,
5379,8419,procurement leader - eajp virtual factory,7646,,,
5380,8420,energy generation program - graduate trainee,3270,,,
5381,8424,export trade assistant,3481,,,
5382,8427,hr project advisor - us country operations,4690,,,
5383,8428,hr project advisor - recruitment operations,4689,,,
5384,8432,contracting and procurement commercial lead - shell graduate programme,2156,,,
5385,8433,undergraduate student researcher,12002,,,
5386,8439,analyst - credit trading and supply,375,,,
5387,8440,junior finance officer,5814,,,
5388,8442,🇦🇺 sc procurement specialist - shell prelude,12367,,,
5389,8443,🇵🇭procurement & logistics executive,12374,,,
5390,8444,🇳🇿🇦🇺procurement specialist - holcim australia and new zealand account - heabs ph,12368,,,
5391,8445,teacher - ages 6 to 8 @ blessed christian development center,11302,,,
5392,8451,"accounting instructor ii, college of management and accountancy",170,,,
5393,8454,director for collegiate relations,3041,,,
5394,8455,project manager for capes grants,8004,,,
5395,8456,supply chain intern for procurement,11012,,,
5396,8457,product supply - engineering intern for water sustainability,7743,,,
5397,8458,shopee xpress intern for innovation & transformation,10289,,,
5398,8459,teaching assistant for mathematics,11306,,,
5399,8460,fo irm compliance specialist,3729,,,
5400,8465,resourcing advisor - hire & onboard,8739,,,
5401,8467,sourcer - emerging talent,10505,,,
5402,8468,supply operations analyst,11048,,,
5403,8469,terminal operations supervisor,11732,,,
5404,8470,terminal operations admin,11729,,,
5405,8471,finance specialist,3618,Government,World Bank,1320000.0
5406,8472,credit analyst,2369,Finance and Insurance,Loan Servicing,840000.0
5407,8476,lubricants service expert,6206,,,
5408,8477,technical sales supervisor,11526,,,
5409,8479,science research specialist,9137,,,
5410,8484,tier 2 / subject matter expert,11787,,,
5411,8487,ihg rewards club account manager,5059,,,
5412,8488,npe analyst,6836,,,
5413,8494,management trainee program,6272,,,
5414,8495,jv regional manager - east,5896,,,
5415,8496,south luzon area terminal manager,10540,,,
5416,8497,order to delivery manager - uk,7128,,,
5417,8498,order to delivery manager - ph,7127,,,
5418,8499,business development / interface / network economist,1361,,,
5419,8501,project deployment hr lead,7913,,,
5420,8502,sr. subject matter expert - international mobility,10776,,,
5421,8503,subject matter expert - international mobility,10909,,,
5422,8504,international mobility advisor,5374,,,
5423,8505,hr transactions advisor,4819,,,
5424,8506,expatriate compensation advisor,3459,,,
5425,8507,capability coordinator,1559,,,
5426,8509,plant process engineering assistant manager,7372,,,
5427,8510,chief process design engineer,1744,,,
5428,8511,process engineer - special projects group,7539,,,
5429,8512,process engineer - technical services,7540,,,
5430,8515,refinery planner,8503,,,
5431,8516,time on tools engineer,11802,,,
5432,8517, global recruiting sourcer,4,,,
5433,8518,recruitment lead ,8441,,,
5434,8519,recruitment / sourcing supervisor,8363,,,
5435,8521,recruitment and training staff,8399,,,
5436,8524,talent acquisition recruiter,11211,,,
5437,8526,counseling intern,2307,,,
5438,8530,energy accounting analyst ,3268,,,
5439,8531,cash application specialist,1607,,,
5440,8532,director of research and evaluation,3064,,,
5441,8539,senior teacher b,10045,,,
5442,8545,industrial relations specialist,5129,,,
5443,8548,product security assistant,7739,,,
5444,8549,petroleum inspector,7300,,,
5445,8550,ojt - operator,6913,,,
5446,8556,process assistant,7521,,,
5447,8557,global process manager,3994,,,
5448,8558,vice president for business development,12115,,,
5449,8559,accounting director,167,Engineering and Sciences,Business Process Outsourcing,110000.0
5450,8560,financial analysis and management services manager,3630,,,
5451,8562,business consulting senior,1348,,,
5452,8563,global project manager,3997,,,
5453,8564,general trade finance manager,3903,,,
5454,8565,global service management third party contract,4012,,,
5455,8566,supply chain and intercompany accounting project specialist,10992,,,
