,skill,skill_code
19415,google adwords,2579
19429,fixed assets accounting,2373
19443,employee surveys,2002
19463,product demonstration,4825
19497,data base management,1576
19505,high volume staffing,2719
19514,business coaching,745
19522,flexible,2389
19524,fluent in english,2399
19547,sap information steward,5479
19557,talend,6210
19558,toad for oracle,6425
19570,hokkien,2741
19603,underwriting,6548
19608,credit assessment,1431
19663,process excellence,4783
19664,case management,894
19669,ms visio,4002
19670,excel om,2179
19671,workday hcm fundamentals,6884
19672,workday talent,6893
19673,workday performance,6888
19678,workday recruitment,6890
19681,business ethics,756
19683,coordinating schedules,1337
19684,planning & scheduling,4628
19688,substation,6100
19689,high voltage engineering,2718
19690,electrical equipment in hazardous areas (eeha),1918
19691,electrical controls,1913
19692,electrical safety,1922
19693,electrical maintenance,1921
19694,electrical testing,1923
19695,electrical engineering and safety,1916
19696,gas plant operations and permit to work system,2498
19697,"instrumentation, automation and controls",3024
19706,gas plant operations,2497
19763,downstream oil ,1833
19808,cross-cultural communication skills,1466
19845,pids,4608
19849,purchase requisitions,4995
19868,project management plan,4930
19876,upstream,6575
19880,sap pm modules,5505
19881,spare parts monitoring and bom build up,5906
19882,cmms build in sap,1076
19883,inspection data management for static equipment in idms,3014
19884,"knowledgeable in ms office, sap and cap tools being used by the oil refineries",3394
19889,process safety management,4806
19890,htri software,2831
19891,hazop,2681
19892,process safety engineering,4805
19896,hazardous areas,2679
19897,phast,4582
19898,aft fathom,186
19899,hazardous area classification,2678
19900,consequence modelling,1248
19904,process hazard analysis,4788
19911,interview,3111
19912,job matching,3304
19949,msds,4005
19950,gsap,2644
19952,health insurance,2692
19964,kitchen management,3371
19965,customer data integration,1498
19966,customer satisfaction research,1524
19980,data managament,1599
19981,myhrw,4039
19982,talkpush,6222
19988,activity diagrams,113
20012,mro management,3986
20015,telecommuting,6339
20082,export documentation,2218
20097,itgc,3228
20146,lng,3569
20176,sales recruitment,5364
20180,employee value proposition,2004
20196,small business,5762
20234,customer escalation management,1500
20238,business innovation,758
20239,growth hacking,2640
20251,mos,3972
20292,spectroscopy,5915
20295,uv/vis,6605
20301,mass spectrometry,3716
20302,formulation,2432
20309,strategic supplier development,6064
20321,retrospectives,5248
20332,sap supply chain,5538
20339,decision making,1670
20355,pharmaceutics,4574
20357,experimental research,2215
20367,crewing,1446
20368,knowledge graphs,3377
20369,maritime operations,3695
20370,crewing operations,1447
20374,software system analysis,5851
20382,partnership marketing,4462
20392,teller operations,6346
20394,digital photography,1769
20396,travel photography,6496
20398,loans,3578
20405,planning ,4627
20412,workplace solutions,6911
20420,end to end learning program design and implementation,2020
20422,data organization,1605
20426,learning and development ,3485
20436,assessment methodologies,417
20457,recruitment ,5121
20461,paper screening,4455
20462,finance and accounting searches,2306
20467,initial interviews,3004
20468,information technology searches,2991
20484,organizational initiatives,4392
20486,r3,5064
20499,daily operations management,1556
20502,smartstream tlm,5774
20505,ott,4415
20506,oss bss,4413
20511,ehs,1902
20525,industrial safety,2959
20526,hazardous materials,2680
20532,production layout,4853
20551,store operations,6036
20552,retail industry,5239
20600,issue resolution,3182
20612,public administration,4981
20616,legislative relations,3509
20664,event photography,2163
20692,recruitment marketing,5127
20701,competent in using ms office,1157
20702,competent in using murvey interface,1158
20703,competent in using spss,1159
20711,schematic,5582
20713,corrective maintenance,1382
20714,shutdown,5722
20718,field instruments,2280
20720,instrument validation,3021
20721,electrical equipment,1917
20731,cosmetics,1384
20737,labor compliance,3418
20738,building business partnerships,728
20801,industrial organization,2956
20822,infor cloudsuite industrial (syteline),2969
20838,conflict management and resolution,1240
20839,presentation design,4715
20840,apple iwork,327
20842,sap ariba (cmcp cockpit) frontline expert,5416
20843,subject matter expert on esourcing,6096
20857,emptoris,2013
20858,strong analytical skills and critical thinking,6076
20859,continuous improvement mindset,1299
20860,understand business and demand,6547
20861,"good interpersonal, influencing and stakeholder management",2570
20870,automotive repair,470
20871,machine operation,3621
20878,site inspections,5746
20882,resourcing strategies,5219
20883,resourcing,5218
20891,offer creation,4188
20899,customer operations,1513
20900,real estate transactions,5103
20969,printers,4746
20999,test administration and interpretation,6362
21035,data quality control,1614
21037,lead and manage team,3448
21038,continuous improvement practitioner,1300
21052,super user,6108
21056,compliance management,1169
21072,strategic human resources leadership,6046
21074,lifelong learning,3533
21114,smartsheet,5773
21124,human resources management,2853
21162,oral communications,4366
21176,microsoft products,3882
21187,sumtotal,6104
21188,saba,5318
21193,hr solutions,2810
21201,learning,3480
21204,agile and scrum,193
21205,leadership core development programme,3455
21245,brassring,702
21291,calendars,839
21315,creative strategy,1423
21319,content marketing,1290
21320,digital strategy,1774
21322,content strategy,1292
21382,compliance audit,1168
21397,detail oriented,1724
21398,billing systems,629
21401,keen into details,3348
21415,fast learner,2259
21437,logical reasoning,3587
21458,offshore operations,4206
21459,offshore oil & gas,4205
21460,motors,3978
21461,safeguarding,5321
21464,low voltage,3602
21471,power distribution,4684
21472,transformer,6478
21520,consumer behavior,1265
21526,crisis management,1451
21531,retail operations,5240
21562,law,3441
21563,legal document preparation,3504
21577,business communications,746
21591,projects and engineering procurement,4943
21592,strategic purchasing,6059
21593,advance ms excel,173
21594,plant turnaround,4634
21595,advance in mrp/mps planning,172
21600,buyer representation,809
21601,smelting,5779
21602,refining,5149
21604,global logistics,2547
21605,capital projects,874
21608,commodity markets,1121
21611,firefighting,2357
21614,rescue,5197
21615,incident command,2941
21621,fire protection,2351
21625,aircraft,212
21627,fire management,2350
21628,fire suppression systems,2354
21630,cpr certified,1410
21639,emts,2014
21644,revenue recognition,5256
21667,marketing event planning,3709
21668,press releases,4720
21675,road management,5286
21697,meeting facilitation,3786
21710,autoplant,471
21713,driving performance,1844
21755,time & attendance,6416
21756,eic,1903
21779,member relations,3789
21781,membership relations,3790
21805,risk monitoring,5281
21814,fixed income,2374
21817,process audit,4773
21889,cognitive ergonomics,1091
21901,first impressions,2364
21914,ers,2121
21917,issue resolution management,3183
21921,service delivery management,5674
21923,investments,3143
21925,videography,6682
21928,microsoft stream,3893
21954,internal resourcing,3068
21956,workday scheduling,6891
21961,interoperability,3098
21971,computer skills,1208
21975,adaptable - able to adapt oneself to new surroundings,120
21976,leadership skills – initiates programs and projects that promotes the developmen,3459
21977,interpersonal and relationship building skills proven through work experience in,3101
21992,personal financial planning,4547
22015,able to communicate well in filipino and english,57
22016,works well with a team,6912
22051,personnel records,4553
22065,it,3186
22071,macromedia,3627
22094,college teaching,1107
22102,anti money laundering,296
22116,branch banking,685
22125,cross selling,1464
22131,deposits,1703
22144,natural gas,4050
22195,capital budgeting,871
22240,assessment,414
22257,color matching,1108
22258,chemical formulation,970
22263,laboratory safety,3424
22265,inorganic chemistry,3008
22268,method development,3813
22269,physical chemistry,4601
22271,animal subject research,288
22272,drilling fluid testing,1840
22297,ansys,293
22299,program facilitation,4897
22300,mechanical design,3750
22302,aerodynamic design of cars,184
22344,test interpretation,6374
22350,enterprise resource planning,2071
22351,oracle 10g,4303
22362,system automation,6182
22372,portals,4664
22401,professional skepticism,4871
22409,hotel management,2756
22410,hotels,2757
22417,psychological research,4974
22418,educational research,1897
22424,educational assessment,1894
22425,psychological report writing,4973
22426,psychotherapy,4979
22428,program evaluation,4896
22430,personality development,4550
22431,cultural diversity,1489
22432,statistics for behavioral sciences,6019
22435,english composition,2055
22442,art,383
22444,chinese culture,975
22446,social media optimization (smo),5803
22448,task management,6230
22452,container,1283
22464,ocean freight,4182
22467,pmo services,4645
22487,sound design,5886
22490,youtube,6962
22494,adobe lightroom,159
22497,procreate app,4810
22549,creative ideation,1419
22620,candidate/talent management,858
22625,vat,6623
22629,p&l,4428
22653,hardworking and self-driven,2666
22656,business writing,807
22668,grievances,2631
22671,cornerstone,1357
22712,sap e-recruiting,5446
22714,scuba diving,5598
22724,partnerships,4464
22732,basic life support (bls),571
22737,sox,5893
22744,concur,1228
22772,advertising management,180
22780,difficult situations,1750
22799,cognos,1092
22801,photographic memory,4590
22819,flash,2380
22820,adobe fireworks,151
22839,multilingual,4020
22841,powerpoint development,4697
22870,economic development,1882
22871,economic data analysis,1881
22873,mathematical analysis,3734
22876,has background in stata,2669
22877,knowledgeable in microsoft office applications,3392
22878,"fast learner, multi-tasker, patient and hardworking",2260
22879,very good interpersonal skills,6669
22882,hr operations support,2801
22884,end-to-end case management,2027
22885,conflict analysis,1238
22901,motivational speaking,3976
22937,linkedin,3546
22949,flexible approach,2390
22962,credit risk management,1444
22980,trend analysis,6503
22985,feasibility studies,2267
22992,stock market,6029
22995,bloomberg,650
22999,audit command language,440
23007,manual controls testing,3677
23026,healthcare recruiting,2701
23050,quality assurance review,5024
23057,corporate fraud investigations,1365
23058,fraud detection,2440
23059,forensic accounting,2429
23073,business process review,795
23108,adobe design programs,148
23112,photoshop elements,4594
23120,adobe creative cloud,146
23152,communications,1128
23219,open-mindedness,4258
23239,new vendor development,4118
23242,biblical teaching,609
23243,youth ministry,6961
23264,controls,1325
23267,social enterprise,5791
23290,billing solutions,628
23291,end to end solutions,2025
23292,controls assessment,1327
23293,continuous controls monitoring,1296
23301,reference checking,5143
23303,client services,1041
23310,workday integration,6886
23314,engaging people,2043
23323,private equity,4755
23326,capital markets,873
23342,quality improvement,5032
23346,records,5114
23361,lubrication,3609
23373,hotel booking,2755
23376,yield management,6955
23377,mountaineering,3979
23379,revenue analysis,5251
23381,resorts,5213
23382,leisure,3510
23383,pre-opening,4703
23388,online travel,4243
23389,travel management,6495
23410,successful negotiation,6102
23416,project control,4916
23422,harmony,2667
23423,arranging,382
23433,machine learning algorithms,3620
23434,strategic insights,6048
23435,applied machine learning,353
23445,compensation ,1143
23459,refineries,5146
23463,engineering design,2047
23466,key accounts,3361
23480,talent search,6219
23487,aviation recruitment,483
23488,technbical recuiter,6282
23489,hr onboarding,2799
23492,life insurance,3529
23501,structured finance,6086
23504,news writing,4119
23534,proactive monitoring,4759
23540,operational risk management,4286
23542,openlink,4265
23544,product security,4846
23545,marine operations,3692
23546,marine survey,3693
23548,safety act audit,5322
23549,loss analysis,3600
23555,subject matter experts,6097
23559,claims management,1017
23562,trading,6453
23564,trading systems,6455
23593,documentaries,1824
23598,non-fiction,4140
23600,branded content,698
23618,electrical,1911
23619,p&id,4427
23741,lightroom,3538
23742,dev c++,1728
23744,morae,3970
23751,sony vegas,5881
23754,qfd,5015
23764,equities,2104
23853,international mobility,3076
23854,hr coaching,2792
23860,unisim,6552
23861,pro ii,4758
23862,lubricants,3608
23863,hydraulic calculations,2861
23864,pfd,4566
23872,technical project management,6298
23885,retirement benefits,5244
23888,labor and employment law,3417
23901,professional phone skills,4869
23909,planning and scheduling,4629
23911,profiler,4886
23950,live events,3567
23952,special events,5912
23990,formal verification,2431
23994,special education,5911
23998,applied behavior analysis,350
24000,chinese,974
24004,applied economics,352
24008,regression analysis,5153
24012,gerencia de ventas,2531
24013,análisis,303
24014,pronósticos,4947
24017,sector automovilístico,5613
24018,mejora continua,3788
24019,vehicles,6639
24021,trabajo en equipo,6440
24023,cuentas a cobrar,1487
24026,vehículos,6640
24030,liderazgo de equipos,3526
24031,liderazgo,3525
24056,digital illustration,1764
24078,packaging engineering,4437
24079,new product implementations,4115
24082,skin care products,5759
24085,beauty industry,593
24086,home care,2743
24087,development of promotional materials,1734
24095,order creation,4368
24129,financial literacy training,2321
24172,global hr/corporate comms/recruitment/l&d professional/diversity and inclusion leader,2544
24213,excel-based macro,2181
24216,ict,2911
24233,staff orientation,5984
24237,service quality,5688
24256,real estate development,5098
24265,real estate project management,5101
24266,mechanical drawings,3751
24292,dataseer,1644
24314,continuous improvement culture,1298
24328,detail-oriented,1726
24341,certified lean practitioner,930
24342,certified lean,929
24435,production system,4862
24436,ms application,3989
24462,navisworks,4056
24463,constructability: lifting plan,1253
24464,constructability: transportation study,1254
24502,contract documentation,1305
24503,vendor contracts,6645
24516,oil,4211
24520,selection,5634
24562,ethical decision making,2143
24563,data-driven decision making,1630
24564,data ethics,1591
24582,google data studio,2588
24587,carbon capture,878
24613,stakeholder mapping,5994
24614,stakeholder analysis,5991
24627,it outsourcing,3208
24659,recruitment process outsourcing,5129
24689,payroll accounting,4487
24749,mathematica,3733
24777,airlines,217
24780,change and engage,943
24831,event organizing,2162
24841,phone screens,4587
24858,decision trees,1671
24859,restaurant systems specialist,5228
24860,process improvement specialist,4795
24894,marketing communications planning,3707
24955,global sap,2552
24975,project scheduling,4938
24976,project communications,4915
24980,agile leadership,198
25003,client liaison,1034
25017,self assessment,5639
25018,placing orders,4621
25022,hauling management,2675
25023,fleet management,2384
25024,fleet operations,2385
25025,fleet optimization,2386
25026,fleet planning,2387
25070,sap project management,5514
25072,senior stakeholder management,5655
25118,daily operations,1555
25122,makeup artistry,3647
25134,peer mentoring,4503
25139,poetry,4648
25149,telecommunications billing,6336
25151,essayist,2132
25163,priority management,4750
25177,spanish speaking,5902
25181,receptionist duties,5108
25184,reservations,5206
25186,airports,218
25215,3m m*modal fluency flex,31
25233,mobility,3947
25234,hr system,2812
25235,hr systems,2813
25255,payroll management,4490
25304,statutory audit,6021
25341,benefits,599
25343,legal compliance,3500
25354,ux research,6607
25355,customer research,1521
25356,journey mapping,3317
25372,employee database management,1985
25388,distribution logistics,1800
25391,sap inventory management,5482
25446,enterprise content management,2065
25461,film scoring,2298
25462,short films,5719
25463,social media blogging,5797
25466,creative services,1421
25470,lean thinking,3475
25473,competency management,1155
25474,competency assessment,1153
25480,complaint management,1164
25493,media buying,3758
25502,social media measurement,5802
25507,strategic sourcing and category management,6063
25508,"sap enterprise resource planning (materials management, logistics execution, project system)",5452
25509,"sap ariba (strategic sourcing, procurement)",5417
25512,market analysis and benchmarking,3698
25513,price and cost modeling,4727
25514,"tender preparation, evaluation, and contract execution",6353
25515,contract negotiation and dealmaking,1310
25516,post-award contract management,4677
25528,offshore engineering,4203
25529,safety leadership,5326
25531,cross-cultural teams,1467
25532,outcome driven innovation,4418
25534,systems thinking,6201
25594,staffing coordination,5988
25596,high degree of initiative,2713
25628,oil & gas accounting,4214
25650,email copywriting,1949
25658,adp workforcenow,169
25659,small business marketing,5765
25673,knowledge in vendor sourcing and localization,3383
25674,prepares mold investment plan monthly and annual base on demand vs. capacity.,4711
25675,control monthly mold cost target based on management plan,1318
25676,knowledgeable in sap r3 and r4 system,3399
25677,maintain and create price contract using sap,3636
25678,"negotiate price proposals, quotations and cost analysis",4060
25689,health promotion,2693
25700,quality patient care,5036
25701,patient safety,4480
25704,emergency response,1974
25706,quality compliance and analysis,5029
25707,standard compliance,5995
25709,medical billing,3767
25717,html 5,2824
25721,ember.js,1966
25724,centos,927
25728,lyx,3616
25730,latex,3439
25731,debian,1662
25742,project portfolio management,4935
25746,team mobilization,6264
25748,incubation,2948
25758,localization,3582
25760,training needs analysis,6465
25761,organizational needs analysis,4397
25776,call center development,844
25779,japanese language proficiency test,3249
25793,team facilitation,6258
25803,scheduling algorithms,5580
25804,staff scheduling,5985
25814,contact center management,1279
25815,call center administration,842
25875,business transformation,805
25879,customer journey mapping,1507
25881,digital transformation,1775
25894,offshoring,4208
25901,inbound marketing,2940
25938,• account management,6974
25939,• strategic planning & execution,6985
25940,• process improvement,6983
25941,• client relations / business partnering,6975
25942,• profitability & growth management,6984
25948,assimilation,421
25955,rewards and recognition,5261
25964,it helpdesk,3200
25965,it analyst,3188
25966,system executive,6188
26003,etl tools,2149
26027,functional leadership,2465
26050,employee relationships,1998
26052,•communications -- good written and verbal presentation skills. use proper gramm,6989
26053,•interpersonal skills -- able to get along well with co-workers and accept super,6993
26054,•flexible -- willing to try new things and am interested in improving efficiency,6991
26055,•attention to detail -- concerned with quality. produce work that is orderly and,6988
26056,"•hard-working -- throughout high school, worked long hours in strenuous activiti",6992
26077,mockito,3950
26078,gcp cloud spanner,2503
26081,cloud firestore,1065
26082,java 17,3255
26083,oracle fusion middleware,4337
26084,jdeveloper,3289
26085,oracle application development framework (adf),4309
26090,c/c++,829
26091,quality assurance testing (manual testing),5026
26107,bootstrapping,677
26122,escalation resolution,2126
26123,sop development,5884
26157,windows active directory,6835
26217,doubleclick,1832
26229,mobile advertising,3926
26245,illustrator,2925
26247,business networking,771
26255,uml,6543
26267,oracle sql,4355
26306,schedule planning,5578
26370,photoscape,4592
26378,c-level executive support,825
26386,preparation,4709
26391,mvc,4033
26414,nestjs,4064
26420,technical architecture,6285
26422,design patterns,1711
26458,automotive,466
26466,guitar playing,2650
26467,electric power,1910
26492,organization development,4381
26500,cloud computing ,1064
26501,reports and analytics ,5190
26518,etl,2147
26537,boarding,665
26546,oracle cloud infrastructure,4317
26549,oracle service bus,4352
26550,business process execution language (bpel),787
26553,service-oriented architecture (soa),5694
26558,oracle soa suite,4354
26559,osb,4408
26560,oracle bpel,4315
26561,soa bpel,5786
26581,unified modeling language (uml),6550
26583,5g,38
26584,standard template library (stl),5997
26595,revenue cycle management,5253
26597,healthcare information management,2697
26633,life coaching,3527
26637,computational physics,1182
26638,theoretical physics,6391
26639,geography,2528
26640,history,2732
26641,historical research,2731
26685,mariadb,3690
26690,pharmacy practice,4581
26694,google apps,2583
26703,renewals,5179
26704,software licensing management,5841
26715,citrix xendesktop,1011
26717,billing services,627
26725,intapp,3032
26726,informatica administration,2971
26742,upselling,6574
26744,it asset management,3189
26765,operations process improvement,4293
26768,transition planning,6480
26794,satellite tv,5568
26801,mysql server,4042
26804,python 3,5008
26806,google home,2591
26809,apache cordova,307
26810,webrtc,6799
26844,urology nursing,6578
26845,direct patient care,1783
26846,recovery room,5116
26848,urology,6576
26849,iv therapy,3242
26850,case manager,895
26852,utilization review,6603
26853,post anesthesia care nursing,4675
26854,kidney stones,3369
26855,urology nurse,6577
26856,eswl nurse,2137
26857,pacu nurse,4442
26858,or nurse,4300
26882,spring data,5942
26884,apache ant,306
26890,struts framework,6092
26898,java enterprice edition,3261
26901,basic project management ,579
26902,basic project management,578
26903,defect managment,1682
26904,lean and six sigma (green belt) certifcate,3465
26915,ios,3150
26917,subversion,6101
26918,objective-c,4175
26922,mac os,3618
26923,rest,5224
26958,core java,1347
26959,java web services,3268
26961,microchip pic,3823
26964,javaserver pages (jsp),3276
26967,secs/gem,5611
27014,it strategy,3224
27055,sql server,5963
27064,medical terminology,3777
27066,intakes,3031
27067,provider outreach,4965
27070,healthcare effectiveness data and information set (hedis),2695
27072,intake,3029
27073,hra,2815
27076,hedis,2705
27095,non-governmental organizations (ngos),4142
27100,seo,5657
27103,web content,6772
27114,web content optimization,6775
27127,solution implementation,5874
27128,business process automation,784
27129,data preparation,1606
27135,google slides,2598
27149,mis,3921
27167,medical-surgical,3781
27168,nursing care,4157
27169,nursing research,4163
27170,registered nurses,5152
27171,bls,653
27172,acls,101
27174,fire training,2355
27176,critical care,1452
27177,advanced cardiac life support (acls),175
27181,inpatient care,3010
27182,"visual studio 2008, 2010",6712
27184,.net framework 2.0 to 4.0,17
27185,entity framework,2077
27186,wcf services,6760
27191,"four-wheel manual, automatic transmission driving",2435
27195,asp .net webforms,398
27215,bahasa indonesia,530
27219,google ads editor,2578
27238,flash animation,2381
27242,actionscript,107
27245,rich media,5274
27270,api,315
27279,open office writer,4254
27299,healthcare information technology,2698
27300,medical writing,3780
27304,pharmacists,4575
27308,managed care,3655
27309,inpatient,3009
27310,patient education,4479
27312,informatics,2979
27352,transition support,6481
27353,kpo,3410
27362,spss software,5952
27374,contingent recruitment,1294
27382,medical research,3775
27398,year-end close,6951
27399,inventory valuation,3133
27401,monthly close,3968
27409,agile development,196
27414,redux,5141
27416,es6,2123
27435,angular material,284
27439,scss,5597
27445,order picking,4372
27448,salesforce cpq,5377
27472,debt management,1666
27509,mobile technology,3945
27519,mobile internet,3940
27567,storage area networks,6035
27574,netapp,4066
27575,vsphere,6733
27576,san,5397
27643,ontrack,4248
27664,service levels,5681
27669,call monitoring,849
27673,serverless computing,5671
27683,software systems,5852
27727,collections management,1104
27740,network installation,4085
27772,episerver,2095
27777,angular 8,281
27784,cisco routing & switching,999
27794,redux.js,5142
27813,object-relational mapping (orm),4174
27820,kentico,3352
27863,itil process,3233
27865,itil implementation,3232
27867,site supervision,5747
27874,construction supervision,1261
27901,google drive,2590
27922,eligibility and qualifications,1942
27951,team performance,6267
27955,competent communication skills,1156
27958,qlikview development,5018
27967,restful architecture,5230
27972,mantis,3676
27987,japanese,3248
28001,desktop application support,1720
28013,business partner support,776
28022,windows vista,6858
28024,internet troubleshooting,3097
28047,online lead generation,4238
28048,data distribution,1588
28054,infopath forms,2968
28058,kpi dashboards,3406
28059,dashboard metrics,1566
28062,portrait photography,4667
28063,wedding photography,6807
28076,certified salesforce.com developer,938
28077,salesforce.com implementation,5393
28089,prezi,4726
28092,sony vegas video,5882
28093,yoast ,6957
28126,test management,6375
28138,hp application lifecycle management,2762
28142,sql scripting,5961
28157,knockoutjs,3373
28158,ecmascript,1879
28178,adsense,170
28195,360 feedback,23
28199,leadership mentoring,3457
28222,programme governance,4902
28232,nursing education,4159
28233,medication administration,3783
28274,digitalocean,1776
28287,statutory reporting,6023
28289,full & final settlement,2460
28300,cross-platform development,1471
28317,xamarin products,6930
28332,xchanging,6934
28360,organizational communication,4386
28386,google workplace,2602
28387,quoting,5058
28392,spam filtering,5899
28413,mern stack,3806
28457,"customer relationship management (crm),",1520
28467,motivation,3975
28472,disciplinary & grievance procedures,1789
28492,n-tier,4043
28509,html/css,2828
28513,financial technology,2344
28519,us healthcare,6580
28522,nursing process,4162
28525,computer/technical literacy,1218
28570,swift payments,6157
28571,settlement,5701
28582,apparel,323
28611,direct marketing,1782
28612,mobile marketing,3941
28613,b2b marketing,511
28618,ppc,4699
28664,test automation framework,6364
28681,human capital,2842
28694,medical records,3774
28698,physicians,4605
28705,medical transcription,3778
28716,flexible scheduling,2392
28734,business process management,789
28752,triple'a,6509
28753,javase,3274
28808,dell certified systems expert,1691
28840,t-sql stored procedures,6203
28845,kendo ui,3350
28854,istqb,3184
28863,sap pi,5500
28864,oracle data integrator (odi),4320
28868,web based application testing,6770
28875,pmp,4646
28881,global delivery,2543
28887,service desk management,5676
28905,primefaces,4739
28953,learning management,3487
28999,banquet operations,550
29001,dining service essentials,1779
29002,outlet and banquet operations,4419
29003,bar service,553
29016,wcf,6759
29047,deal closure,1659
29055,windows presentation foundation (wpf),6844
29071,windows 8,6832
29077,blackberry enterprise server,641
29078,iphone support,3160
29079,blackberry,640
29083,display advertising,1794
29087,stored procedures,6037
29121,request management,5193
29129,google,2576
29133,queue management,5048
29138,product knowledge,4831
29140,information security management,2984
29157,qa automation,5012
29184,chart.js,960
29185,mapbox,3686
29186,json web token (jwt),3326
29211,multiple project coordination,4024
29217,kubernetes,3411
29240,compliance review,1171
29251,sme,5776
29255,order review,4374
29257,swift,6154
29276,import and export coordination,2932
29277,customs laws and regulations,1537
29301,distribution strategies,1802
29311,verint workforce optimization,6662
29312,verint workforce management,6661
29313,avaya,476
29315,iex total view,2917
29316,iex,2916
29319,process scheduler,4807
29321,scheduling management,5581
29323,verint,6659
29324,contact analyzer,1278
29327,spring batch,5940
29330,openshift,4268
29335,spock framework,5926
29338,solid design principles,5867
29362,healthcare industry,2696
29363,stock trading,6031
29364,fx trading,2482
29373,modems,3955
29377,group policy,2637
29380,domain name system (dns),1830
29391,payroll services,4492
29393,sales representative,5365
29397,metric management,3817
29400,manage client expectations,3653
29401,metrics reporting,3818
29402,performance metrics,4529
29403,metric development,3816
29409,knowledgeable in business object reporting,3390
29412,itil v3 trained,3238
29413,proficent in ms excel,4874
29414,proficient in ms power point,4880
29415,knowledgeable in sql,3401
29451,system center configuration manager (sccm),6183
29465,jquery mobile,3321
29466,web designing,6779
29468,wireframing,6863
29484,informatica,2970
29492,teradata,6355
29497,data warehouse architecture,1627
29498,obiee,4169
29500,datastage,1647
29502,performance tuning,4533
29503,white belt,6816
29541,efficent,1901
29549,test driven development,6370
29561,wpf,6916
29579,senior services,5654
29589,non-technical recruiting,4145
29608,patient counseling,4478
29650,msql,4007
29656,new account opening,4102
29658,kotlin,3405
29660,intellij idea,3044
29668,cash operations,904
29677,microsoft report builder,3887
29678,snowflake,5782
29679,snowflake cloud,5783
29714,hardware support,2662
29735,genesis,2519
29736,hero,2708
29752,sports training,5936
29782,user interface,6593
29791,facebook api,2235
29793,front-end,2451
29801,automated software testing,459
29805,new relic,4117
29817,webdriver,6794
29821,safe,5320
29828,fiber optics,2277
29829,scripting,5592
29875,coaching staff,1082
29884,job posting,3306
29921,teamcity,6275
29922,ansible,292
29933,asp,397
29937,jdbc,3284
29964,visual communication,6706
29970,communications planning,1129
29982,film editing,2295
30005,spring security,5945
30012,computer software,1210
30019,network-attached storage (nas),4097
30020,video post-production,6679
30041,looker (software),3599
30042,google bigquery,2584
30043,dbt,1654
30052,sql tuning,5969
30053,ssas tabular,5976
30062,instructional technology,3019
30066,educational technology,1899
30115,rxjs,5313
30116,ngrx,4126
30126,bomgar,669
30134,audio editing,437
30160,adobe photoshop cs6,162
30169,canvas,862
30177,adobe flash cs6 (as2 / as3),153
30179,hardwork,2664
30180,support systems,6139
30191,business presentation,781
30204,azure service bus,507
30238,intellectually curious,3042
30239,invision,3144
30242,secondary education,5608
30273,it project & program management,3210
30309,pre-sales,4704
30312,enterprise architecture,2063
30315,start-ups,6002
30331,database management,1636
30358,access control management,70
30387,ewfm,2172
30401,software development methodologies,5830
30442,accounts provisioning,93
30453,cisco vpn,1004
30455,call logging,848
30463,reports analysis,5189
30467,clearquest,1022
30468,ibm rational tools,2891
30477,asp.net c#,401
30484,c programming,815
30485,java programming,3263
30487,cobol programming,1087
30491,xml web services,6942
30507,netbeans,4069
30509,serenity,5662
30512,testrail,6387
30513,protractor,4964
30514,clm,1056
30516,codeceptjs,1089
30526,hr recruitment,2806
30542,sd,5599
30552,c# asp .net,818
30558,vb script,6624
30560,c# winforms,820
30561,web services or soap,6790
30562,user controls or components,6587
30563,"windows 95x,xp, 2000 server, nt",6834
30564,swift (programming language),6155
30583,hubspot,2840
30601,pharmacy benefit management,4580
30602,hospital pharmacy,2747
30607,agile scrum,202
30613,specflow,5910
30614,sqlite,5971
30640,selenium grid,5636
30641,qunit,5054
30647,nursing management,4160
30648,critical care nursing,1453
30650,hcpcs,2686
30651,icd-10,2907
30652,current procedural terminology (cpt),1491
30654,medical coding,3769
30665,instructional systems development,3018
30678,schedule management,5577
30679,internet research,3094
30696,c# .net,817
30706,entity framework (ef) core,2078
30726,operational compliance,4281
30753,team mentoring,6263
30754,process,4770
30755,xp,6943
30762,microsoft office 2007,3865
30769,office 2010,4190
30774,technical leadership,6293
30775,proof of concept,4948
30800,knowledge base,3375
30801,knowledge management systems,3385
30807,jamf,3247
30808,microsoft intune,3862
30809,okta administration,4219
30811,truu,6517
30814,serverless,5670
30831,system deployment,6185
30832,internet banking,3087
30841,signalr,5733
30857,cms quality initiatives,1078
30871,bcm central operation - ph location head,591
30874,triage,6505
30875,medical underwriting,3779
30879,patient care,4477
30882,nursing documentation,4158
30896,determination ,1727
30900,windows communication foundation (wcf),6838
30901,datazen,1648
30910,printer support,4745
30927,financial recruitment,2331
30996,violin,6683
30997,music theory,4031
31004,piano education,4607
31005,sibelius,5724
31006,finale,2303
31029,multidimensional expressions (mdx),4019
31031,technologists,6317
31047,blazor,643
31053,business intelligence tools,763
31068,good communication,2564
31071,hardworking,2665
31080,a multitasker,43
31081,positive attitude,4670
31082,recruit,5117
31109,vendor relations,6651
31111,corporate insurance,1368
31124,defect elimination,1677
31127,speech analytics,5917
31166,e-learning modules,1863
31175,training program design,6466
31176,training analysis,6460
31178,virtual training,6692
31179,needs analysis,4058
31181,e-learning implementation,1862
31207,communication training,1127
31208,presentation development,4716
31226,lean six sigma black belt,3473
31228,copc,1340
31230,hypothesis testing,2876
31409,leisure travel,3512
31431,blue pumpkin,656
